tx_id,date,btc,eur,desc,origin,cp
46347,2026-03-16,0.00033578,21.87000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46348,2026-03-10,0.00035744,21.54000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46349,2026-03-02,0.00036330,21.38000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46351,2026-02-23,0.00038566,21.15000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46352,2026-02-16,0.00036304,21.10000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46353,2026-02-10,0.00036263,21.00000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46355,2026-01-31,0.00031675,21.09000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46356,2026-01-26,0.00028324,21.05000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46358,2026-01-21,0.00027834,21.32000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46359,2026-01-13,0.00026221,21.47000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46361,2026-01-05,0.00026637,21.35000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46363,2025-12-30,0.00028241,21.25000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46364,2025-12-24,0.00028496,21.20000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46366,2025-12-15,0.00028928,21.28000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46367,2025-12-08,0.00027569,21.48000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46370,2025-12-02,0.00027407,21.52000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46372,2025-11-23,0.00057523,43.42000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46374,2025-11-06,0.00146229,128.27000000,ST Criptos (venta Bot Eth),import,MoneyWiz income: capital_gains/sale_financial_assets
46375,2025-11-06,0.00049511,43.43000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46377,2025-10-23,0.00022749,21.56000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46378,2025-10-17,0.00395872,362.05000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46379,2025-10-17,0.00425493,389.14000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46380,2025-10-17,0.00023344,21.35000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46383,2025-10-09,0.00283275,300.90000000,ST Criptos,manual,MoneyWiz income: capital_gains/sale_financial_assets
46384,2025-10-02,0.00020772,21.35000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46387,2025-09-25,0.00022871,21.39000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46389,2025-09-18,0.00021423,21.28000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46391,2025-09-03,0.00022131,21.21000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46392,2025-08-25,0.00021966,20.84000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46394,2025-08-19,0.00013201,12.80000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46396,2025-08-11,0.00012154,12.42000000,ST Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
46489,2023-09-12,0.00623597,150.00000000,Criptos,import,MoneyWiz income: capital_gains/sale_financial_assets
